Test Accuracy (percentage): 89.78

Class                TPR  Precision
---------------------------------
T-shirt/top       0.8540     0.8447
Trouser           0.9730     0.9918
Pullover          0.8380     0.8136
Dress             0.9120     0.8950
Coat              0.8420     0.8353
Sandal            0.9600     0.9707
Shirt             0.7030     0.7416
Sneaker           0.9620     0.9441
Bag               0.9700     0.9739
Ankle boot        0.9640     0.9650
