  Bias    Acc%  ShirtTPR  ShirtPrec
--------------------------------
 -1.0   89.44    0.5730     0.8341
 -0.5   89.82    0.6480     0.7961
 +0.0   89.78    0.7030     0.7416
 +0.5   89.61    0.7650     0.6942
 +1.0   89.31    0.8140     0.6522
 +1.5   88.45    0.8540     0.5918
 +2.0   87.81    0.8810     0.5527

Best trade-off: bias=+2.0  acc=87.81%  TPR=0.8810  Prec=0.5527
